occupation_name,skills,knowledge,prompt,original_sentences,results
data scientist,"['manage research data', 'publish academic research', 'perform project management']",[],"Take this sentence from a Job Posting.

""You are @@intelligent@@ @@motivated@@ and @@hard-working@@ .""

A part surrounded by @@ is a job-related skill. Write a sentence preserving annotations, but instead of the skills, you should put the following entities: for skills: @@manage research data@@, @@publish academic research@@, @@perform project management@@. Only adjust grammar minimally to maintain the readability and coherence of the sentence with the new entities. ",You are @@intelligent@@ @@motivated@@ and @@hard-working@@ .,"You are @@manage research data@@, @@publish academic research@@ and @@perform project management@@."
 security engineer,[],"['business intelligence', 'risk management', 'copyright legislation']","Take this sentence from a Job Posting.

""##spring## ##java## ##cloud##""

A part surrounded by ## is job-related knowledge. Write a sentence preserving annotations, but instead of the knowledge, you should put the following entities: for knowledge: ##business intelligence##, ##risk management##, ##copyright legislation##. Only adjust grammar minimally to maintain the readability and coherence of the sentence with the new entities. ",##spring## ##java## ##cloud##,##business intelligence## ##risk management## ##copyright legislation##
embedded system designer,"['develop creative ideas', 'verify formal  specifications']",[],"Take this sentence from a Job Posting.

""Will primarily @@use existing procedures and tools@@ to @@develop and safely execute network change@@ .""

A part surrounded by @@ is a job-related skill. Write a sentence preserving annotations, but instead of the skills, you should put the following entities: for skills: @@develop creative ideas@@, @@verify formal  specifications@@. Only adjust grammar minimally to maintain the readability and coherence of the sentence with the new entities. ",Will primarily @@use existing procedures and tools@@ to @@develop and safely execute network change@@ .,Will primarily @@develop creative ideas@@ and @@verify formal specifications@@ to ensure safe and effective implementation.
 capacity planner,"['plan  capacity', 'perform project management']",['resource description framework query language'],"Take this sentence from a Job Posting.

""The overall objective of your position and our team will be to @@provide a stable and reliable access@@ to a ##50+ PB scale data store## to @@help researchers focus on their job@@ while relying on our software-defined storage .""

A part surrounded by @@ is a job-related skill, and a part surrounded by ## is job-related knowledge. Write a sentence preserving annotations, but instead of the skills and the knowledge, you should put the following entities: for skills: @@plan  capacity@@, @@perform project management@@, and for knowledge: ##resource description framework query language##. Only adjust grammar minimally to maintain the readability and coherence of the sentence with the new entities. ",The overall objective of your position and our team will be to @@provide a stable and reliable access@@ to a ##50+ PB scale data store## to @@help researchers focus on their job@@ while relying on our software-defined storage .,"The overall objective of your position and our team will be to @@plan capacity@@ and @@perform project management@@ to ensure a ##resource description framework query language## is effectively utilized, helping researchers focus on their job while relying on our software-defined storage."
chief  security officer,[],[' communications protocols'],"Take this sentence from a Job Posting.

""Eligible for ##<LOCATION> Government Security Clearance## .""

A part surrounded by ## is job-related knowledge. Write a sentence preserving annotations, but instead of the knowledge, you should put the following entities: for knowledge: ## communications protocols##. Only adjust grammar minimally to maintain the readability and coherence of the sentence with the new entities. ",Eligible for ##<LOCATION> Government Security Clearance## .,Eligible for understanding ##communications protocols##.
 business analysis manager,[],"['data mining', 'visual presentation techniques', 'information extraction', 'business strategy concepts']","Take this sentence from a Job Posting.

""##javascript## ##reactjs## ##next.js## ##strapi##""

A part surrounded by ## is job-related knowledge. Write a sentence preserving annotations, but instead of the knowledge, you should put the following entities: for knowledge: ##data mining##, ##visual presentation techniques##, ##information extraction##, ##business strategy concepts##. Only adjust grammar minimally to maintain the readability and coherence of the sentence with the new entities. ",##javascript## ##reactjs## ##next.js## ##strapi##,##data mining## ##visual presentation techniques## ##information extraction## ##business strategy concepts##
green  consultant,[],[' sales methodologies'],"Take this sentence from a Job Posting.

""Expert knowledge of the ##Linux operation system## and its variations .""

A part surrounded by ## is job-related knowledge. Write a sentence preserving annotations, but instead of the knowledge, you should put the following entities: for knowledge: ## sales methodologies##. Only adjust grammar minimally to maintain the readability and coherence of the sentence with the new entities. ",Expert knowledge of the ##Linux operation system## and its variations .,Expert knowledge of the ##sales methodologies## and its variations.
enterprise architect,[],"['Erlang', 'information architecture', 'ML (computer programming)', 'Pascal (computer programming)']","Take this sentence from a Job Posting.

""Full-Stack Engineer ( f/m/d ) <ORGANIZATION> <ADDRESS> <LOCATION> <LOCATION> - <LOCATION> Date posted: 2021-03-28 Likes: 0 Dislikes: 0 Love: 0 Job description: Compensation: €60k - 75k | Equity Job type: Full-time Experience level: Mid-Level Role: Full Stack Developer Technologies reactjs ##django## ##go## ##docker## ##amazon-web-services## Job description Join us as one of the first Engineers to build the future of Voice Messages .""

A part surrounded by ## is job-related knowledge. Write a sentence preserving annotations, but instead of the knowledge, you should put the following entities: for knowledge: ##Erlang##, ##information architecture##, ##ML (computer programming)##, ##Pascal (computer programming)##. Only adjust grammar minimally to maintain the readability and coherence of the sentence with the new entities. ",Full-Stack Engineer ( f/m/d ) <ORGANIZATION> <ADDRESS> <LOCATION> <LOCATION> - <LOCATION> Date posted: 2021-03-28 Likes: 0 Dislikes: 0 Love: 0 Job description: Compensation: €60k - 75k | Equity Job type: Full-time Experience level: Mid-Level Role: Full Stack Developer Technologies reactjs ##django## ##go## ##docker## ##amazon-web-services## Job description Join us as one of the first Engineers to build the future of Voice Messages .,Full-Stack Engineer ( f/m/d ) <ORGANIZATION> <ADDRESS> <LOCATION> <LOCATION> - <LOCATION> Date posted: 2021-03-28 Likes: 0 Dislikes: 0 Love: 0 Job description: Compensation: €60k - 75k | Equity Job type: Full-time Experience level: Mid-Level Role: Full Stack Developer Technologies ##Erlang## ##information architecture## ##ML (computer programming)## ##Pascal (computer programming)## Job description Join us as one of the first Engineers to build the future of Voice Messages.
 usability tester,[],"['PHP', 'SPARQL']","Take this sentence from a Job Posting.

""* Strong technical fundamentals in one or more of the ##modern programming languages## Preference for experience in ##Java/Spring## .""

A part surrounded by ## is job-related knowledge. Write a sentence preserving annotations, but instead of the knowledge, you should put the following entities: for knowledge: ##PHP##, ##SPARQL##. Only adjust grammar minimally to maintain the readability and coherence of the sentence with the new entities. ",* Strong technical fundamentals in one or more of the ##modern programming languages## Preference for experience in ##Java/Spring## .,* Strong technical fundamentals in one or more of the ##modern programming languages## Preference for experience in ##PHP## and ##SPARQL##.
data quality specialist,[],['XQuery'],"Take this sentence from a Job Posting.

""Solid understanding of ##Object-Oriented design and concepts## .""

A part surrounded by ## is job-related knowledge. Write a sentence preserving annotations, but instead of the knowledge, you should put the following entities: for knowledge: ##XQuery##. Only adjust grammar minimally to maintain the readability and coherence of the sentence with the new entities. ",Solid understanding of ##Object-Oriented design and concepts## .,Solid understanding of ##XQuery## design and concepts.
user interface developer,['use software design patterns'],['LESS'],"Take this sentence from a Job Posting.

""Prior work experience should include four or more years of ##Java or API development## in a team environment or @@supporting production software@@ in an academic or commercial setting .""

A part surrounded by @@ is a job-related skill, and a part surrounded by ## is job-related knowledge. Write a sentence preserving annotations, but instead of the skills and the knowledge, you should put the following entities: for skills: @@use software design patterns@@, and for knowledge: ##LESS##. Only adjust grammar minimally to maintain the readability and coherence of the sentence with the new entities. ",Prior work experience should include four or more years of ##Java or API development## in a team environment or @@supporting production software@@ in an academic or commercial setting .,Prior work experience should include four or more years of ##LESS## in a team environment or @@use software design patterns@@ in an academic or commercial setting.
 capacity planner,"['perform business analysis', 'design database scheme']",[],"Take this sentence from a Job Posting.

""Strong @@communication skills@@ and the ability to @@support less technical staff@@ .""

A part surrounded by @@ is a job-related skill. Write a sentence preserving annotations, but instead of the skills, you should put the following entities: for skills: @@perform business analysis@@, @@design database scheme@@. Only adjust grammar minimally to maintain the readability and coherence of the sentence with the new entities. ",Strong @@communication skills@@ and the ability to @@support less technical staff@@ .,Strong @@perform business analysis@@ and the ability to @@design database scheme@@.
