occupation_name,skills,knowledge,prompt,results,rephrase_prompts
police detective,['control crowd'],['first response'],"Take this sentence from a Job Posting.

""There will also be the opportunity to @@test new methods@@ on ##large scale sequencing efforts## .""

A part surrounded by @@ is a job-related skill, and a part surrounded by ## is job-related knowledge. Write a sentence preserving annotations, but instead of the skills and the knowledge, you should put the following entities: for skills: @@control crowd@@, and for knowledge: ##first response##. Only adjust grammar minimally to maintain the readability and coherence of the sentence with the new entities. ",There will also be the opportunity to @@control crowd@@ during ##first response## situations.,
onshore wind energy engineer,['utilise machine learning'],[],"Take this sentence from a Job Posting.

""@@Collaborating with relevant stakeholders@@ across the organization incl .""

A part surrounded by @@ is a job-related skill. Write a sentence preserving annotations, but instead of the skills, you should put the following entities: for skills: @@utilise machine learning@@. Only adjust grammar minimally to maintain the readability and coherence of the sentence with the new entities. ",@@Utilise machine learning@@ across the organization incl .,
forestry inspector,[],['environmental legislation in agriculture and forestry'],"Take this sentence from a Job Posting.

""##cand.polit## .""

A part surrounded by ## is job-related knowledge. Write a sentence preserving annotations, but instead of the knowledge, you should put the following entities: for knowledge: ##environmental legislation in agriculture and forestry##. Only adjust grammar minimally to maintain the readability and coherence of the sentence with the new entities. ",##environmental legislation in agriculture and forestry##.,
industrial machinery assembler,"['maintain records of maintenance interventions', 'inspect quality of products', 'record test data', 'troubleshoot', 'maintain industrial equipment', 'secure working area', 'install machinery']",[],"Take this sentence from a Job Posting.

""Key tasks include to: @@support Regional Business Managers in the quotation process@@ and @@be the difference in customer meetings@@ @@support the Project Execution team@@ in projects @@manage and maintain own product- and process portfolio@@ @@provide training to sales teams and customers@@ @@own and participate in internal business improvement projects@@ @@maintain market developments awareness@@ The position is based in <LOCATION> but approx .""

A part surrounded by @@ is a job-related skill. Write a sentence preserving annotations, but instead of the skills, you should put the following entities: for skills: @@maintain records of maintenance interventions@@, @@inspect quality of products@@, @@record test data@@, @@troubleshoot@@, @@maintain industrial equipment@@, @@secure working area@@, @@install machinery@@. Only adjust grammar minimally to maintain the readability and coherence of the sentence with the new entities. ",Key tasks include to: @@maintain records of maintenance interventions@@ and @@inspect quality of products@@ @@troubleshoot@@ in projects @@maintain industrial equipment@@ @@secure working area@@ @@provide training to sales teams and customers@@ @@install machinery@@ @@maintain market developments awareness@@ The position is based in <LOCATION> but approx.,
policy manager,['create advocacy material'],[],"Take this sentence from a Job Posting.

""Able to @@communicate with customers@@ and help them with the implementation of our solutions Place of work : At our office in central <LOCATION> .""

A part surrounded by @@ is a job-related skill. Write a sentence preserving annotations, but instead of the skills, you should put the following entities: for skills: @@create advocacy material@@. Only adjust grammar minimally to maintain the readability and coherence of the sentence with the new entities. ",Able to @@create advocacy material@@ and help them with the implementation of our solutions Place of work : At our office in central <LOCATION> .,
waste management officer,[],"['health, safety and hygiene legislation']","Take this sentence from a Job Posting.

""Working with cutting-edge ##bio-assay## technology .""

A part surrounded by ## is job-related knowledge. Write a sentence preserving annotations, but instead of the knowledge, you should put the following entities: for knowledge: ##health, safety and hygiene legislation##. Only adjust grammar minimally to maintain the readability and coherence of the sentence with the new entities. ","Working with cutting-edge ##health, safety and hygiene legislation##.",
rubber technologist,[],['polymerisation'],"Take this sentence from a Job Posting.

""As part of the software development team you will be one of three developers responsible for the ##frontend application## and the customer experience .""

A part surrounded by ## is job-related knowledge. Write a sentence preserving annotations, but instead of the knowledge, you should put the following entities: for knowledge: ##polymerisation##. Only adjust grammar minimally to maintain the readability and coherence of the sentence with the new entities. ",As part of the chemical engineering team you will be one of three specialists responsible for the ##polymerisation## and the customer experience.,
aircraft assembly inspector,[],"['electromechanics', 'engineering processes', 'common aviation safety regulations']","Take this sentence from a Job Posting.

""The research will focus on ##computational modelling## and ##behavioral experiments## but also be related to ongoing research using ##MEG## .""

A part surrounded by ## is job-related knowledge. Write a sentence preserving annotations, but instead of the knowledge, you should put the following entities: for knowledge: ##electromechanics##, ##engineering processes##, ##common aviation safety regulations##. Only adjust grammar minimally to maintain the readability and coherence of the sentence with the new entities. ",The work will focus on ##electromechanics## and ##engineering processes## but also be related to ongoing projects adhering to ##common aviation safety regulations##.,
sign language teacher,"['provide specialised instruction for special needs students', 'apply teaching strategies', ""maintain students' discipline""]",[],"Take this sentence from a Job Posting.

""As a person your are @@energetic@@ with a strong @@drive@@ witn an @@open and flexible mind@@ .""

A part surrounded by @@ is a job-related skill. Write a sentence preserving annotations, but instead of the skills, you should put the following entities: for skills: @@provide specialised instruction for special needs students@@, @@apply teaching strategies@@, @@maintain students' discipline@@. Only adjust grammar minimally to maintain the readability and coherence of the sentence with the new entities. ","""As an individual, you possess the ability to @@provide specialised instruction for special needs students@@, apply effective @@teaching strategies@@, and maintain @@students' discipline@@.""","Job-related knowledge is surrounded by ## symbols. Job-related skill is surrounded by @@. You have a sentence that is supposed to be from a job posting. 
Sentence: ""As a person you are @@provide specialised instruction for special needs students@@ with a strong @@apply teaching strategies@@ and an @@maintain students' discipline@@.""
It lacks coherence. Rephrase it to make it sound less synthetic . Keep existing @@ and ## annotations. Don't create new skills or knowledge components."
mechatronics engineer,[],"['model based system engineering', 'optoelectronics']","Take this sentence from a Job Posting.

""Preference will be given to candidates with experience in one of the following fields: ##topological phases of matter## ##strongly-correlated ultracold atom or electron systems## .""

A part surrounded by ## is job-related knowledge. Write a sentence preserving annotations, but instead of the knowledge, you should put the following entities: for knowledge: ##model based system engineering##, ##optoelectronics##. Only adjust grammar minimally to maintain the readability and coherence of the sentence with the new entities. ","Preference will be given to candidates with experience in one of the following fields: ##model based system engineering##, ##optoelectronics##.",
