occupation_name,skills,knowledge,prompt,results,original_sentences
 system architect,['create data models'],[],"Take this sentence from a Job Posting.

""* Passionate about @@building an innovative culture@@""

A part surrounded by @@ is a job-related skill. Write a sentence preserving annotations, but instead of the skills, you should put the following entities: for skills: @@create data models@@. Only adjust grammar minimally to maintain the readability and coherence of the sentence with the new entities. ",* Passionate about @@creating data models@@,"""* Passionate about @@building an innovative culture@@"""
data quality specialist,[],['N1QL'],"Take this sentence from a Job Posting.

""• Basic ##UNIX scripting## .""

A part surrounded by ## is job-related knowledge. Write a sentence preserving annotations, but instead of the knowledge, you should put the following entities: for knowledge: ##N1QL##. Only adjust grammar minimally to maintain the readability and coherence of the sentence with the new entities. ",• Basic ##N1QL##.,"""• Basic ##UNIX scripting## ."""
chief  security officer,['optimise choice of  solution'],[],"Take this sentence from a Job Posting.

""@@Capture analyze and synthesize research findings into actionable insights and recommendations@@""

A part surrounded by @@ is a job-related skill. Write a sentence preserving annotations, but instead of the skills, you should put the following entities: for skills: @@optimise choice of  solution@@. Only adjust grammar minimally to maintain the readability and coherence of the sentence with the new entities. ",@@Optimise choice of solution@@ into actionable insights and recommendations.,"""@@Capture analyze and synthesize research findings into actionable insights and recommendations@@"""
user interface designer,['develop creative ideas'],['DevOps'],"Take this sentence from a Job Posting.

""Understand ##endpoint protect## from both a managerial/strategic level and have experience in @@hands on technical design and implementation@@""

A part surrounded by @@ is a job-related skill, and a part surrounded by ## is job-related knowledge. Write a sentence preserving annotations, but instead of the skills and the knowledge, you should put the following entities: for skills: @@develop creative ideas@@, and for knowledge: ##DevOps##. Only adjust grammar minimally to maintain the readability and coherence of the sentence with the new entities. ",Understand ##DevOps## from both a managerial/strategic level and have experience in @@developing creative ideas@@,"""Understand ##endpoint protect## from both a managerial/strategic level and have experience in @@hands on technical design and implementation@@"""
embedded system designer,['develop creative ideas'],[],"Take this sentence from a Job Posting.

""@@Build secure system solutions@@ to meet endpoint program requirements""

A part surrounded by @@ is a job-related skill. Write a sentence preserving annotations, but instead of the skills, you should put the following entities: for skills: @@develop creative ideas@@. Only adjust grammar minimally to maintain the readability and coherence of the sentence with the new entities. ",@@Develop creative ideas@@ to meet endpoint program requirements,"""@@Build secure system solutions@@ to meet endpoint program requirements"""
numerical tool and process control programmer,['use technical documentation'],"['Erlang', 'Java (computer programming)', 'Microsoft Visual C++', 'SAP R3', 'COBOL']","Take this sentence from a Job Posting.

""• Must have experience @@developing ##Java## based services@@ ( including ##restful web services )## • Extensive knowledge of ##cloud native design patterns## ##microservices## and ##twelve-factor application methodology##""

A part surrounded by @@ is a job-related skill, and a part surrounded by ## is job-related knowledge. Write a sentence preserving annotations, but instead of the skills and the knowledge, you should put the following entities: for skills: @@use technical documentation@@, and for knowledge: ##Erlang##, ##Java (computer programming)##, ##Microsoft Visual C++##, ##SAP R3##, ##COBOL##. Only adjust grammar minimally to maintain the readability and coherence of the sentence with the new entities. ","• Must have experience @@using technical documentation@@ (including ##Erlang##, ##Java (computer programming)##, ##Microsoft Visual C++##, ##SAP R3##, and ##COBOL##) • Extensive knowledge of these is required.","""• Must have experience @@developing ##Java## based services@@ ( including ##restful web services )## • Extensive knowledge of ##cloud native design patterns## ##microservices## and ##twelve-factor application methodology##"""
digital games developer,['use software design patterns'],[],"Take this sentence from a Job Posting.

""Python • Knowledge in @@testing of Mainframe and batch related applications@@ is preferred .""

A part surrounded by @@ is a job-related skill. Write a sentence preserving annotations, but instead of the skills, you should put the following entities: for skills: @@use software design patterns@@. Only adjust grammar minimally to maintain the readability and coherence of the sentence with the new entities. ",Python • Knowledge in @@use of software design patterns@@ is preferred.,"""Python • Knowledge in @@testing of Mainframe and batch related applications@@ is preferred ."""
ethical hacker,[],"['Cain and Abel (penetration testing tool)', 'levels of software testing']","Take this sentence from a Job Posting.

""Experience of using ##GraphQL## in a ##production environment##""

A part surrounded by ## is job-related knowledge. Write a sentence preserving annotations, but instead of the knowledge, you should put the following entities: for knowledge: ##Cain and Abel (penetration testing tool)##, ##levels of software testing##. Only adjust grammar minimally to maintain the readability and coherence of the sentence with the new entities. ",Experience of using ##Cain and Abel (penetration testing tool)## in different ##levels of software testing##,"""Experience of using ##GraphQL## in a ##production environment##"""
cloud engineer,[],"['Ruby (computer programming)', ' system integration']","Take this sentence from a Job Posting.

""Coming in with an understanding of the importance of ##end-to-end software## development-such as ##Agile## frameworks-is key .""

A part surrounded by ## is job-related knowledge. Write a sentence preserving annotations, but instead of the knowledge, you should put the following entities: for knowledge: ##Ruby (computer programming)##, ## system integration##. Only adjust grammar minimally to maintain the readability and coherence of the sentence with the new entities. ",Coming in with an understanding of the importance of ##Ruby (computer programming)## development-such as ##system integration##-is key.,"""Coming in with an understanding of the importance of ##end-to-end software## development-such as ##Agile## frameworks-is key ."""
 application developer,[],['Puppet (tools for software configuration management)'],"Take this sentence from a Job Posting.

""Technical Skills: • ##Core Java## .""

A part surrounded by ## is job-related knowledge. Write a sentence preserving annotations, but instead of the knowledge, you should put the following entities: for knowledge: ##Puppet (tools for software configuration management)##. Only adjust grammar minimally to maintain the readability and coherence of the sentence with the new entities. ",Technical Skills: • ##Puppet (tools for software configuration management)##.,"""Technical Skills: • ##Core Java## ."""
