occupation_name,skills,knowledge,prompt,results,original_sentences,original_results,rephrase_prompts
choirmaster/choirmistress,['select musical performers'],"['cultural projects', 'art-historical values', 'musical genres', 'music literature']","Take this sentence from a Job Posting.

""@@Preparation of reagents for V&V activities@@ such as ##buffers## ##magnetic nanoparticle solutions## ##controls## and ##calibrants## .""

A part surrounded by @@ is a job-related skill, and a part surrounded by ## is job-related knowledge. Write a sentence preserving annotations, but instead of the skills and the knowledge, you should put the following entities: for skills: @@select musical performers@@, and for knowledge: ##cultural projects##, ##art-historical values##, ##musical genres##, ##music literature##. Only adjust grammar minimally to maintain the readability and coherence of the sentence with the new entities. ","@@Select musical performers@@ for various activities such as ##cultural projects##, ##art-historical values##, ##musical genres##, and ##music literature##.","""@@Preparation of reagents for V&V activities@@ such as ##buffers## ##magnetic nanoparticle solutions## ##controls## and ##calibrants## .""","@@Select musical performers@@ for various activities such as ##cultural projects##, ##art-historical values##, ##musical genres##, and ##music literature##.",
construction scaffolding supervisor,"['use measurement instruments', 'keep records of work progress', 'install scaffolding pump jacks']","['scaffolding components', 'construction product regulation', 'cost management']","Take this sentence from a Job Posting.

""* A @@team player@@ who feels comfortable in @@having a great deal of responsibility@@ and @@take actions in all processes@@ from the ##design phase## to actual ##implementation## and ##test## .""

A part surrounded by @@ is a job-related skill, and a part surrounded by ## is job-related knowledge. Write a sentence preserving annotations, but instead of the skills and the knowledge, you should put the following entities: for skills: @@use measurement instruments@@, @@keep records of work progress@@, @@install scaffolding pump jacks@@, and for knowledge: ##scaffolding components##, ##construction product regulation##, ##cost management##. Only adjust grammar minimally to maintain the readability and coherence of the sentence with the new entities. ","""We are seeking an individual skilled in @@using measurement instruments@@, comfortable with @@keeping records of work progress@@, and experienced in @@installing scaffolding pump jacks@@. The ideal candidate will understand the process from assembling the ##scaffolding components## to adhering to ##construction product regulation## and ##cost management##.""","""* A @@team player@@ who feels comfortable in @@having a great deal of responsibility@@ and @@take actions in all processes@@ from the ##design phase## to actual ##implementation## and ##test## .""",* An @@use measurement instruments@@ who feels comfortable in @@keeping records of work progress@@ and @@installing scaffolding pump jacks@@ from the ##scaffolding components## to actual ##construction product regulation## and ##cost management##.,"Job-related knowledge is surrounded by ## symbols. Job-related skill is surrounded by @@. You have a sentence that is supposed to be from a job posting. 
Sentence: ""* An @@use measurement instruments@@ who feels comfortable in @@keeping records of work progress@@ and @@installing scaffolding pump jacks@@ from the ##scaffolding components## to actual ##construction product regulation## and ##cost management##.""
It lacks coherence. Rephrase it to make it sound less synthetic . Ensure that all existing @@ and ## annotations remain unchanged. Don't create any new skills or knowledge components."
edge bander operator,[],['edge banding'],"Take this sentence from a Job Posting.

""Profile: You speak ##English## well .""

A part surrounded by ## is job-related knowledge. Write a sentence preserving annotations, but instead of the knowledge, you should put the following entities: for knowledge: ##edge banding##. Only adjust grammar minimally to maintain the readability and coherence of the sentence with the new entities. ",Profile: You understand ##edge banding## well.,"""Profile: You speak ##English## well .""",Profile: You understand ##edge banding## well.,
specialised doctor,"['perform scientific research', 'synthesise information']","['rheumatology', 'general haematology', 'endocrinology']","Take this sentence from a Job Posting.

""You thrive by @@solving com-plex problems@@ using ##kinematics## ##dynamics## ##mechatronics## and other @@engineering skills@@ .""

A part surrounded by @@ is a job-related skill, and a part surrounded by ## is job-related knowledge. Write a sentence preserving annotations, but instead of the skills and the knowledge, you should put the following entities: for skills: @@perform scientific research@@, @@synthesise information@@, and for knowledge: ##rheumatology##, ##general haematology##, ##endocrinology##. Only adjust grammar minimally to maintain the readability and coherence of the sentence with the new entities. ","You thrive by @@performing scientific research@@ and @@synthesising information@@ using ##rheumatology##, ##general haematology##, and ##endocrinology##.","""You thrive by @@solving com-plex problems@@ using ##kinematics## ##dynamics## ##mechatronics## and other @@engineering skills@@ .""","You thrive by @@performing scientific research@@ and @@synthesising information@@ using ##rheumatology##, ##general haematology##, and ##endocrinology##.",
orthopaedic supply shop manager,"['ensure correct goods labelling', 'ensure compliance with purchasing and contracting regulations']",[],"Take this sentence from a Job Posting.

""@@Interpersonal skills@@ to @@interact with customers and team members@@ in all organizational levels .""

A part surrounded by @@ is a job-related skill. Write a sentence preserving annotations, but instead of the skills, you should put the following entities: for skills: @@ensure correct goods labelling@@, @@ensure compliance with purchasing and contracting regulations@@. Only adjust grammar minimally to maintain the readability and coherence of the sentence with the new entities. ",@@Ensure correct goods labelling@@ and @@ensure compliance with purchasing and contracting regulations@@ to interact with customers and team members at all organizational levels.,"""@@Interpersonal skills@@ to @@interact with customers and team members@@ in all organizational levels .""",@@Ensure correct goods labelling@@ and @@ensure compliance with purchasing and contracting regulations@@ to interact with customers and team members at all organizational levels.,
sewerage maintenance technician,['use non-destructive testing equipment'],[],"Take this sentence from a Job Posting.

""Profile: @@Easygoing@@ personality .""

A part surrounded by @@ is a job-related skill. Write a sentence preserving annotations, but instead of the skills, you should put the following entities: for skills: @@use non-destructive testing equipment@@. Only adjust grammar minimally to maintain the readability and coherence of the sentence with the new entities. ",Profile: Ability to @@use non-destructive testing equipment@@.,"""Profile: @@Easygoing@@ personality .""",Profile: Ability to @@use non-destructive testing equipment@@.,
material testing technician,['analyse test data'],[],"Take this sentence from a Job Posting.

""Works with the audit team to @@ensure progress on any identified security compliance revision or audit findings@@ .""

A part surrounded by @@ is a job-related skill. Write a sentence preserving annotations, but instead of the skills, you should put the following entities: for skills: @@analyse test data@@. Only adjust grammar minimally to maintain the readability and coherence of the sentence with the new entities. ",Works with the audit team to @@analyse test data@@.,"""Works with the audit team to @@ensure progress on any identified security compliance revision or audit findings@@ .""",Works with the audit team to @@analyse test data@@.,
perfume production machine operator,[],"['perfume and cosmetic products', 'chemistry']","Take this sentence from a Job Posting.

""You will also be able to draw on some years of working experience with other ##offshore projects## preferably within the offshore ##wind or oil and gas industry## .""

A part surrounded by ## is job-related knowledge. Write a sentence preserving annotations, but instead of the knowledge, you should put the following entities: for knowledge: ##perfume and cosmetic products##, ##chemistry##. Only adjust grammar minimally to maintain the readability and coherence of the sentence with the new entities. ",You will also be able to draw on some years of working experience with other ##perfume and cosmetic products## preferably within the ##chemistry## industry.,"""You will also be able to draw on some years of working experience with other ##offshore projects## preferably within the offshore ##wind or oil and gas industry## .""",You will also be able to draw on some years of working experience with other ##perfume and cosmetic products## preferably within the ##chemistry## industry.,
taxi driver,[],"['geographic areas', 'mechanical components of vehicles', 'effective perception of transport environment']","Take this sentence from a Job Posting.

""The main research topic will be the ##theoretical study of models## with ##topological order in low-dimensional many-body systems## including both ##solid state and ultracold atom setups## .""

A part surrounded by ## is job-related knowledge. Write a sentence preserving annotations, but instead of the knowledge, you should put the following entities: for knowledge: ##geographic areas##, ##mechanical components of vehicles##, ##effective perception of transport environment##. Only adjust grammar minimally to maintain the readability and coherence of the sentence with the new entities. ",The main focus will be the ##geographic areas## with ##mechanical components of vehicles## including both ##effective perception of transport environment##.,"""The main research topic will be the ##theoretical study of models## with ##topological order in low-dimensional many-body systems## including both ##solid state and ultracold atom setups## .""",The main focus will be the ##geographic areas## with ##mechanical components of vehicles## including both ##effective perception of transport environment##.,
meat and meat products specialised seller,['process refunds'],['characteristics of products'],"Take this sentence from a Job Posting.

""There will also be the opportunity to @@test new methods@@ on ##large scale sequencing efforts## .""

A part surrounded by @@ is a job-related skill, and a part surrounded by ## is job-related knowledge. Write a sentence preserving annotations, but instead of the skills and the knowledge, you should put the following entities: for skills: @@process refunds@@, and for knowledge: ##characteristics of products##. Only adjust grammar minimally to maintain the readability and coherence of the sentence with the new entities. ",There will also be the opportunity to @@process refunds@@ on ##characteristics of products##.,"""There will also be the opportunity to @@test new methods@@ on ##large scale sequencing efforts## .""",There will also be the opportunity to @@process refunds@@ on ##characteristics of products##.,
