occupation_name,skills,knowledge,prompt,results,original_sentences,original_results,rephrase_prompts
blockchain architect,['design information system'],[],"Take this sentence from a Job Posting.

""* Passionate about @@building an innovative culture@@""

A part surrounded by @@ is a job-related skill. Write a sentence preserving annotations, but instead of the skills, you should put the following entities: for skills: @@design information system@@. Only adjust grammar minimally to maintain the readability and coherence of the sentence with the new entities. ",* Passionate about @@designing information systems@@,"""* Passionate about @@building an innovative culture@@""",* Passionate about @@designing information systems@@,
system architect,[],['COBOL'],"Take this sentence from a Job Posting.

""• Basic ##UNIX scripting## .""

A part surrounded by ## is job-related knowledge. Write a sentence preserving annotations, but instead of the knowledge, you should put the following entities: for knowledge: ##COBOL##. Only adjust grammar minimally to maintain the readability and coherence of the sentence with the new entities. ",• Basic ##COBOL##.,"""• Basic ##UNIX scripting## .""",• Basic ##COBOL##.,
application configurator,['use software libraries'],[],"Take this sentence from a Job Posting.

""@@Capture analyze and synthesize research findings into actionable insights and recommendations@@""

A part surrounded by @@ is a job-related skill. Write a sentence preserving annotations, but instead of the skills, you should put the following entities: for skills: @@use software libraries@@. Only adjust grammar minimally to maintain the readability and coherence of the sentence with the new entities. ",@@Use software libraries@@ to analyze and synthesize research findings into actionable insights and recommendations.,"""@@Capture analyze and synthesize research findings into actionable insights and recommendations@@""",@@Use software libraries@@ to analyze and synthesize research findings into actionable insights and recommendations.,
digital games tester,['develop test suite'],['debugging tools'],"Take this sentence from a Job Posting.

""Understand ##endpoint protect## from both a managerial/strategic level and have experience in @@hands on technical design and implementation@@""

A part surrounded by @@ is a job-related skill, and a part surrounded by ## is job-related knowledge. Write a sentence preserving annotations, but instead of the skills and the knowledge, you should put the following entities: for skills: @@develop test suite@@, and for knowledge: ##debugging tools##. Only adjust grammar minimally to maintain the readability and coherence of the sentence with the new entities. ",Understand ##debugging tools## from both a managerial/strategic level and have experience in @@developing test suite@@,"""Understand ##endpoint protect## from both a managerial/strategic level and have experience in @@hands on technical design and implementation@@""",Understand ##debugging tools## from both a managerial/strategic level and have experience in @@developing test suite@@,
digital games developer,['develop software prototype'],[],"Take this sentence from a Job Posting.

""@@Build secure system solutions@@ to meet endpoint program requirements""

A part surrounded by @@ is a job-related skill. Write a sentence preserving annotations, but instead of the skills, you should put the following entities: for skills: @@develop software prototype@@. Only adjust grammar minimally to maintain the readability and coherence of the sentence with the new entities. ",@@Develop software prototype@@ to meet endpoint program requirements,"""@@Build secure system solutions@@ to meet endpoint program requirements""",@@Develop software prototype@@ to meet endpoint program requirements,
cloud engineer,['design interaction model'],"['systems development life-cycle', 'cloud security and compliance', 'cloud monitoring and reporting', 'cloud technologies', 'systems theory']","Take this sentence from a Job Posting.

""• Must have experience @@developing ##Java## based services@@ ( including ##restful web services )## • Extensive knowledge of ##cloud native design patterns## ##microservices## and ##twelve-factor application methodology##""

A part surrounded by @@ is a job-related skill, and a part surrounded by ## is job-related knowledge. Write a sentence preserving annotations, but instead of the skills and the knowledge, you should put the following entities: for skills: @@design interaction model@@, and for knowledge: ##systems development life-cycle##, ##cloud security and compliance##, ##cloud monitoring and reporting##, ##cloud technologies##, ##systems theory##. Only adjust grammar minimally to maintain the readability and coherence of the sentence with the new entities. ","• Must have experience @@designing interaction models@@ • Extensive knowledge of ##systems development life-cycle##, ##cloud security and compliance##, ##cloud monitoring and reporting##, ##cloud technologies##, and ##systems theory##","""• Must have experience @@developing ##Java## based services@@ ( including ##restful web services )## • Extensive knowledge of ##cloud native design patterns## ##microservices## and ##twelve-factor application methodology##""","• Must have experience @@designing interaction models@@ • Extensive knowledge of ##systems development life-cycle##, ##cloud security and compliance##, ##cloud monitoring and reporting##, ##cloud technologies##, and ##systems theory##",
user experience analyst,['measure software usability'],[],"Take this sentence from a Job Posting.

""Python • Knowledge in @@testing of Mainframe and batch related applications@@ is preferred .""

A part surrounded by @@ is a job-related skill. Write a sentence preserving annotations, but instead of the skills, you should put the following entities: for skills: @@measure software usability@@. Only adjust grammar minimally to maintain the readability and coherence of the sentence with the new entities. ",Python • Knowledge in @@measure software usability@@ is preferred.,"""Python • Knowledge in @@testing of Mainframe and batch related applications@@ is preferred .""",Python • Knowledge in @@measure software usability@@ is preferred.,
security administrator,[],"['organisational resilience', 'cyber security']","Take this sentence from a Job Posting.

""Experience of using ##GraphQL## in a ##production environment##""

A part surrounded by ## is job-related knowledge. Write a sentence preserving annotations, but instead of the knowledge, you should put the following entities: for knowledge: ##organisational resilience##, ##cyber security##. Only adjust grammar minimally to maintain the readability and coherence of the sentence with the new entities. ",Experience of implementing ##organisational resilience## and ##cyber security## in a ##production environment##,"""Experience of using ##GraphQL## in a ##production environment##""",Experience of implementing ##organisational resilience## and ##cyber security## in a ##production environment##,
user interface developer,[],"['Prolog (computer programming)', 'OpenEdge Advanced Business Language']","Take this sentence from a Job Posting.

""Coming in with an understanding of the importance of ##end-to-end software## development-such as ##Agile## frameworks-is key .""

A part surrounded by ## is job-related knowledge. Write a sentence preserving annotations, but instead of the knowledge, you should put the following entities: for knowledge: ##Prolog (computer programming)##, ##OpenEdge Advanced Business Language##. Only adjust grammar minimally to maintain the readability and coherence of the sentence with the new entities. ",Coming in with an understanding of the importance of ##Prolog (computer programming)## and ##OpenEdge Advanced Business Language## is key.,"""Coming in with an understanding of the importance of ##end-to-end software## development-such as ##Agile## frameworks-is key .""",Coming in with an understanding of the importance of ##Prolog (computer programming)## and ##OpenEdge Advanced Business Language## is key.,
data analyst,[],['data quality assessment'],"Take this sentence from a Job Posting.

""Technical Skills: • ##Core Java## .""

A part surrounded by ## is job-related knowledge. Write a sentence preserving annotations, but instead of the knowledge, you should put the following entities: for knowledge: ##data quality assessment##. Only adjust grammar minimally to maintain the readability and coherence of the sentence with the new entities. ",Technical Skills: • ##Data Quality Assessment##.,"""Technical Skills: • ##Core Java## .""",Technical Skills: • ##Data Quality Assessment##.,
